Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6005725,WillingnesstoTryagainLikert,Likely,1008.mp4,NALA,3008,NAHA6,NAHA6_WillingnesstoTryagainLikert,6
6005725,WillingnesstoTryagainLikert,Very Likely,3002.mp4,NALA,3009,NALA2,NALA2_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Very Likely,3008.mp4,NAHA,1000,NALA5,NALA5_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Very Likely,3009.mp4,NAHA,1001,NALA6,NALA6_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Very Likely,3000.mp4,NAHA,1004,NALA1,NALA1_WillingnesstoTryagainLikert,7
6006510,WillingnesstoTryagainLikert,Not at all likely,1005.mp4,NAHA,1005,NAHA4,NAHA4_WillingnesstoTryagainLikert,0
6006510,WillingnesstoTryagainLikert,Somewhat likely,3007.mp4,NAHA,1006,NALA4,NALA4_WillingnesstoTryagainLikert,5
6006510,WillingnesstoTryagainLikert,Not at all likely,1006.mp4,NAHA,1008,NAHA5,NAHA5_WillingnesstoTryagainLikert,0
6006510,WillingnesstoTryagainLikert,Not at all likely,1008.mp4,NALA,3000,NAHA6,NAHA6_WillingnesstoTryagainLikert,0
6006510,WillingnesstoTryagainLikert,Not at all likely,1000.mp4,NALA,3002,NAHA1,NAHA1_WillingnesstoTryagainLikert,0
6006510,WillingnesstoTryagainLikert,Neutral,3002.mp4,NALA,3004,NALA2,NALA2_WillingnesstoTryagainLikert,4
6006510,WillingnesstoTryagainLikert,Not at all likely,1004.mp4,NALA,3007,NAHA3,NAHA3_WillingnesstoTryagainLikert,0
6006510,WillingnesstoTryagainLikert,Likely,3004.mp4,NALA,3008,NALA3,NALA3_WillingnesstoTryagainLikert,6
6006510,WillingnesstoTryagainLikert,Not at all likely,1001.mp4,NALA,3009,NAHA2,NAHA2_WillingnesstoTryagainLikert,0
6007706,WillingnesstoTryagainLikert,Neutral,3009.mp4,NAHA,1000,NALA6,NALA6_WillingnesstoTryagainLikert,4
6007706,WillingnesstoTryagainLikert,Neutral,3007.mp4,NAHA,1001,NALA4,NALA4_WillingnesstoTryagainLikert,4
6007706,WillingnesstoTryagainLikert,Not at all likely,1000.mp4,NAHA,1004,NAHA1,NAHA1_WillingnesstoTryagainLikert,0
6007706,WillingnesstoTryagainLikert,Neutral,3000.mp4,NAHA,1005,NALA1,NALA1_WillingnesstoTryagainLikert,4
6007706,WillingnesstoTryagainLikert,Not at all likely,1004.mp4,NAHA,1006,NAHA3,NAHA3_WillingnesstoTryagainLikert,0
6007706,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NAHA,1008,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
