Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,Responses Quantised
6004232,Effortlikert,Neutral,3007.mp4,NALA,3000,NALA4,NALA4_Effortlikert,4
6004232,Successlikert,Disagree,3007.mp4,NALA,3000,NALA4,NALA4_Successlikert,2
6004232,Effortlikert,Disagree,1000.mp4,NALA,3002,NAHA1,NAHA1_Effortlikert,2
6004232,Successlikert,Neutral,1000.mp4,NALA,3002,NAHA1,NAHA1_Successlikert,4
6004232,Effortlikert,Neutral,3008.mp4,NALA,3004,NALA5,NALA5_Effortlikert,4
6004232,Successlikert,Neutral,3008.mp4,NALA,3004,NALA5,NALA5_Successlikert,4
6004232,Effortlikert,Neutral,3009.mp4,NALA,3007,NALA6,NALA6_Effortlikert,4
6004232,Successlikert,Neutral,3009.mp4,NALA,3007,NALA6,NALA6_Successlikert,4
6004232,Effortlikert,Neutral,1005.mp4,NALA,3008,NAHA4,NAHA4_Effortlikert,4
6004232,Successlikert,Neutral,1005.mp4,NALA,3008,NAHA4,NAHA4_Successlikert,4
6004232,Effortlikert,Strongly disagree,1006.mp4,NALA,3009,NAHA5,NAHA5_Effortlikert,1
6004232,Successlikert,Somewhat Agree,1006.mp4,NALA,3009,NAHA5,NAHA5_Successlikert,5
6004232,WillingnesstoTryagainLikert,Neutral,1004.mp4,NAHA,1000,NAHA3,NAHA3_WillingnesstoTryagainLikert,4
6004232,WillingnesstoTryagainLikert,Very Likely,3000.mp4,NAHA,1001,NALA1,NALA1_WillingnesstoTryagainLikert,7
6004232,WillingnesstoTryagainLikert,Neutral,1001.mp4,NAHA,1004,NAHA2,NAHA2_WillingnesstoTryagainLikert,4
6004232,WillingnesstoTryagainLikert,Likely,3002.mp4,NAHA,1005,NALA2,NALA2_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Likely,3004.mp4,NAHA,1006,NALA3,NALA3_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Somewhat likely,1008.mp4,NAHA,1008,NAHA6,NAHA6_WillingnesstoTryagainLikert,5
6004232,WillingnesstoTryagainLikert,Likely,3007.mp4,NALA,3000,NALA4,NALA4_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Neutral,1000.mp4,NALA,3002,NAHA1,NAHA1_WillingnesstoTryagainLikert,4
6004232,WillingnesstoTryagainLikert,Likely,3008.mp4,NALA,3004,NALA5,NALA5_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Likely,3009.mp4,NALA,3007,NALA6,NALA6_WillingnesstoTryagainLikert,6
6004232,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NALA,3008,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
6004232,WillingnesstoTryagainLikert,Neutral,1006.mp4,NALA,3009,NAHA5,NAHA5_WillingnesstoTryagainLikert,4
6005633,Effortlikert,Agree,3004.mp4,NAHA,1000,NALA3,NALA3_Effortlikert,6
6005633,Successlikert,Disagree,3004.mp4,NAHA,1000,NALA3,NALA3_Successlikert,2
6005633,Effortlikert,Agree,1004.mp4,NAHA,1001,NAHA3,NAHA3_Effortlikert,6
6005633,Successlikert,Disagree,1004.mp4,NAHA,1001,NAHA3,NAHA3_Successlikert,2
6005633,Effortlikert,Agree,1008.mp4,NAHA,1004,NAHA6,NAHA6_Effortlikert,6
6005633,Successlikert,Not at all,1008.mp4,NAHA,1004,NAHA6,NAHA6_Successlikert,0
6005633,Effortlikert,Disagree,1006.mp4,NAHA,1005,NAHA5,NAHA5_Effortlikert,2
6005633,Successlikert,Strongly Agree,1006.mp4,NAHA,1005,NAHA5,NAHA5_Successlikert,7
6005633,Effortlikert,Strongly Agree,3000.mp4,NAHA,1006,NALA1,NALA1_Effortlikert,7
6005633,Successlikert,Somewhat Agree,3000.mp4,NAHA,1006,NALA1,NALA1_Successlikert,5
6005633,Effortlikert,Agree,3007.mp4,NAHA,1008,NALA4,NALA4_Effortlikert,6
6005633,Successlikert,Not at all,3007.mp4,NAHA,1008,NALA4,NALA4_Successlikert,0
6005633,Effortlikert,Somewhat Disagree,1000.mp4,NALA,3000,NAHA1,NAHA1_Effortlikert,3
6005633,Successlikert,Strongly Agree,1000.mp4,NALA,3000,NAHA1,NAHA1_Successlikert,7
6005633,Effortlikert,Somewhat Disagree,1001.mp4,NALA,3002,NAHA2,NAHA2_Effortlikert,3
6005633,Successlikert,Strongly Agree,1001.mp4,NALA,3002,NAHA2,NAHA2_Successlikert,7
6005633,Effortlikert,Somewhat Disagree,1005.mp4,NALA,3004,NAHA4,NAHA4_Effortlikert,3
6005633,Successlikert,Agree,1005.mp4,NALA,3004,NAHA4,NAHA4_Successlikert,6
6005633,Effortlikert,Strongly Agree,3008.mp4,NALA,3007,NALA5,NALA5_Effortlikert,7
6005633,Successlikert,Disagree,3008.mp4,NALA,3007,NALA5,NALA5_Successlikert,2
